user_id,value_text
1,"What matters most to me is that everyone respects each other’s personal space and boundaries. Living together doesn’t mean being together all the time — balance between connection and privacy is key."
2,"I care most about fairness in how we share chores and responsibilities. Everyone should contribute to keeping the space clean, organized, and functional."
3,"Honest and compassionate communication matters most. If something bothers someone, we talk about it directly and kindly, rather than letting small issues grow."
4,"For me, the most important thing is living sustainably — composting, recycling, reducing waste, and using resources thoughtfully as a group."
5,"What I value most is that people look out for one another — helping when someone’s sick, celebrating milestones together, and being emotionally supportive."
6,"It’s essential to me that the community is inclusive — welcoming people of different backgrounds, ages, and lifestyles, and learning from each other’s experiences."
7,"Eating together regularly is what matters most to me. Shared meals create a sense of belonging and help us bond as a community."
8,"The most important thing for me is that the place feels calm and quiet. I need an environment where people respect noise levels and personal downtime."
9,"I love when people bring creative energy — organizing art nights, music sessions, or garden projects that bring everyone together."
10,"Trust is what makes communal living work. I value honesty about finances, decision-making, and expectations so no one feels left out or taken advantage of."
11,"I want to live with people who are curious and open to learning — about themselves, each other, and how to live better together."
12,"The most important thing is that people are generous — with time, food, and patience. Kindness makes daily life smoother and more joyful."
13,"I care that everyone is aligned around a shared purpose — whether it’s sustainability, social justice, or simply creating a nurturing home."
14,"What matters most is flexibility — that people can adapt when things change and approach challenges with a cooperative mindset."
15,"I think it’s vital that the community makes time for fun — laughter, games, spontaneous dance parties — because joy keeps us connected."
